dose	tissue	animal	PK	RNA
1	cord	1	0.017	0.9106875
1	cord	2	0.011	0.5486145
1	cord	3	0.021	0.9201170999999999
1	cord	4	0.012	0.9823850000000001
3	cord	1	0.037	0.9060789
3	cord	2	0.018	0.9753565000000001
3	cord	3	0.036	0.846668
3	cord	4	0.055	0.6821221
10	cord	1	0.158	0.4894194
10	cord	2	0.101	0.6104263
10	cord	3	0.241	0.3819149
10	cord	4	0.243	0.3823758
30	cord	1	0.33	0.32982500000000003
30	cord	2	0.236	0.4074122
30	cord	3	0.371	0.32684510000000006
30	cord	4	0.842	0.18925989999999998
100	cord	1	1.291	0.1331708
100	cord	2	1.043	0.1500788
100	cord	3	1.685	0.1097578
100	cord	4	2.297	0.0790045
300	cord	1	3.666	0.062289260000000006
300	cord	2	4.864	0.05841718
300	cord	3	4.553	0.06517372
300	cord	4	5.047	0.05007078
700	cord	1	14.053	0.03512639
700	cord	2	13.692	0.03277759
700	cord	3	8.227	0.03716461
700	cord	4	7.447	0.05192449
1	cortex	1	0.023	0.8898081000000001
1	cortex	2	0.03	1.078729
1	cortex	3	0.012	0.9919102
1	cortex	4	0.004	1.138295
3	cortex	1		
3	cortex	2	0.093	0.9473275999999999
3	cortex	3	0.141	1.082782
3	cortex	4	0.044	1.052489
10	cortex	1	0.319	0.9450157
10	cortex	2	0.384	0.9416645
10	cortex	3	0.348	0.9243455
10	cortex	4	0.181	1.021936
30	cortex	1	0.647	0.4834452
30	cortex	2	1.094	0.5868939000000001
30	cortex	3	0.818	0.5873101
30	cortex	4	1.242	0.7899083
100	cortex	1	4.127	0.1948048
100	cortex	2	4.47	0.2301577
100	cortex	3	3.648	0.2189754
100	cortex	4	2.868	0.5145004
300	cortex	1	11.449	0.09916356
300	cortex	2	11.867	0.09028484
300	cortex	3	10.42	0.1171337
300	cortex	4	7.972	0.07695504
700	cortex	1	23.354	0.054136670000000005
700	cortex	2	36.406	0.05211746
700	cortex	3	21.829	0.06061805
700	cortex	4	15.163	0.09365889
1	brainstem	1	0.055	0.6136376
1	brainstem	2	0.039	0.5737148
1	brainstem	3	0.079	0.7410133000000001
1	brainstem	4	0.067	0.6285792
3	brainstem	1	0.092	0.46470219999999995
3	brainstem	2	0.152	0.49255530000000003
3	brainstem	3	0.107	0.4420257
3	brainstem	4	0.098	0.4991761
10	brainstem	1	0.394	0.372883
10	brainstem	2	0.352	0.3448693
10	brainstem	3	0.336	0.3620275
10	brainstem	4	0.41	0.322824
30	brainstem	1	0.746	0.2075059
30	brainstem	2	0.627	0.20012039999999998
30	brainstem	3	0.751	0.18949390000000002
30	brainstem	4	0.82	0.21164819999999998
100	brainstem	1	1.781	0.10783559999999999
100	brainstem	2	1.496	0.1157521
100	brainstem	3	2.02	0.08367129000000001
100	brainstem	4	1.965	0.09320607
300	brainstem	1	5.355	0.04776361
300	brainstem	2	6.383	0.0563403
300	brainstem	3	6	0.04946358
300	brainstem	4	6.356	0.04986521
700	brainstem	1	12.329	0.03749453
700	brainstem	2	17.4	0.03070506
700	brainstem	3	11.334	0.03576844
700	brainstem	4	10.953	0.03715009
1	cerebellum	1	0.084	1.161759
1	cerebellum	2	0.069	0.9514277
1	cerebellum	3	0.093	1.174743
1	cerebellum	4	0.066	1.1469580000000001
3	cerebellum	1	0.233	0.8331713999999999
3	cerebellum	2	0.243	1.010556
3	cerebellum	3	0.273	0.7628024999999999
3	cerebellum	4	0.202	0.8961302000000001
10	cerebellum	1	0.599	0.7864338
10	cerebellum	2	0.514	0.9264836
10	cerebellum	3	0.463	0.8552092
10	cerebellum	4	0.607	0.752774
30	cerebellum	1	1.649	0.5711983
30	cerebellum	2	1.67	0.5079483
30	cerebellum	3	1.958	0.524071
30	cerebellum	4	1.683	0.5005893
100	cerebellum	1	4.448	0.33987110000000004
100	cerebellum	2	4.794	0.2899048
100	cerebellum	3	4.863	0.3186941
100	cerebellum	4	4.546	0.3090795
300	cerebellum	1	13.418	0.1750657
300	cerebellum	2	11.418	0.276225
300	cerebellum	3	9.222	0.2509286
300	cerebellum	4	10.297	0.2091593
700	cerebellum	1	16.557	0.188795
700	cerebellum	2	25.892	0.15955909999999998
700	cerebellum	3	19.782	0.1737556
700	cerebellum	4	19.295	0.16999050000000002
1	hippocampus	1	0.002	0.9612925
1	hippocampus	2	0.02	0.7475818
1	hippocampus	3	0.02	0.7011084
1	hippocampus	4	0.006	0.7856286
3	hippocampus	1	0.07	0.7630594
3	hippocampus	2	0.101	0.7721536999999999
3	hippocampus	3	0.113	0.5566124
3	hippocampus	4	0.053	0.49004669999999995
10	hippocampus	1	0.288	0.5901816
10	hippocampus	2	0.255	0.8491583
10	hippocampus	3	0.191	0.4668298
10	hippocampus	4	0.117	0.8281873000000001
30	hippocampus	1	0.657	0.3539213
30	hippocampus	2	0.493	0.2990273
30	hippocampus	3	1.003	0.4561344
30	hippocampus	4	0.891	0.4752151
100	hippocampus	1	5.953	0.1487201
100	hippocampus	2	3.803	0.1554988
100	hippocampus	3	4.739	0.08127979
100	hippocampus	4	2.964	0.09486563
300	hippocampus	1	13.674	0.0668791
300	hippocampus	2	7.875	0.06050486
300	hippocampus	3	8.466	0.041905910000000005
300	hippocampus	4	5.662	0.06898266
700	hippocampus	1	20.274	0.06394340999999999
700	hippocampus	2	34.914	0.075381600000000007
700	hippocampus	3	17.918	0.056383010000000004
700	hippocampus	4	16.604	0.05577365
1	thalamus	1	0.096	0.8211902999999999
1	thalamus	2		
1	thalamus	3	0.051	0.9394066
1	thalamus	4	0.029	1.082971
3	thalamus	1	0.087	1.046535
3	thalamus	2	0.102	1.098167
3	thalamus	3		
3	thalamus	4	0.078	0.8537682
10	thalamus	1	0.295	0.6274856
10	thalamus	2	0.204	0.929356
10	thalamus	3	0.172	0.897744
10	thalamus	4	0.202	0.7167578
30	thalamus	1	0.986	0.5892625
30	thalamus	2	0.529	0.7680591
30	thalamus	3	1.24	0.4663414
30	thalamus	4	0.912	0.5375776
100	thalamus	1	3.043	0.2032659
100	thalamus	2	3.195	0.34809130000000005
100	thalamus	3	3.378	0.2791872
100	thalamus	4	2.391	0.2611561
300	thalamus	1	9.581	0.1216047
300	thalamus	2	6.399	0.08554563
300	thalamus	3	7.285	0.2381521
300	thalamus	4	7.554	0.09026125
700	thalamus	1	18.637	0.05372539
700	thalamus	2	25.266	0.1509201
700	thalamus	3	12.978	0.060265849999999996
700	thalamus	4	17.341	0.06748743
1	hypothalamus	1	0.232	0.9123215
1	hypothalamus	2	0.081	0.844751
1	hypothalamus	3		
1	hypothalamus	4	0.049	1.027169
3	hypothalamus	1	0.322	0.9497774
3	hypothalamus	2	0.349	0.9641791000000001
3	hypothalamus	3	0.563	0.5650196
3	hypothalamus	4	0.347	0.6865239
10	hypothalamus	1	0.767	0.7364552999999999
10	hypothalamus	2	0.656	0.5038830999999999
10	hypothalamus	3	0.58	0.5459544000000001
10	hypothalamus	4	0.882	0.6212999
30	hypothalamus	1	1.701	0.2471484
30	hypothalamus	2	1.398	0.2721817
30	hypothalamus	3	0.756	0.7318934
30	hypothalamus	4	2.429	0.2948475
100	hypothalamus	1	3.058	0.479796
100	hypothalamus	2	3.544	0.2419761
100	hypothalamus	3	5.297	0.14365830000000002
100	hypothalamus	4	5.005	0.2008505
300	hypothalamus	1	9.764	0.07541128
300	hypothalamus	2	13.49	0.1115076
300	hypothalamus	3	10.163	0.06281734
300	hypothalamus	4	10.282	0.1015584
700	hypothalamus	1	15.478	0.04636879000000001
700	hypothalamus	2	22.464	0.07185878
700	hypothalamus	3	20.928	0.09381659
700	hypothalamus	4	10.552	0.08896498
