region	animal	qpcr
Cervical Cord	1501	0.9922822021566181
Cervical Cord	1502	1.007717797843382
Cervical Cord	2501	0.23481858568327552
Cervical Cord	2502	0.0983132100517781
Cervical Cord	2503	0.06307326513945795
Cervical Cord	2504	0.0762573751624855
Thoracic cord	1501	1.0365475238153783
Thoracic cord	1502	0.9634524761846219
Thoracic cord	2501	0.11116236271866933
Thoracic cord	2502	0.08729210074054042
Thoracic cord	2503	0.07278545774651003
Thoracic cord	2504	0.07501794784276969
Lumbar Cord	1501	0.9058136767477574
Lumbar Cord	1502	1.0941863232522429
Lumbar Cord	2501	0.11119275765233869
Lumbar Cord	2502	0.08775935095797602
Lumbar Cord	2503	0.07607174094356633
Lumbar Cord	2504	0.0958396135562984
Frontal cortex	1501	0.953561693102112
Frontal cortex	1502	1.0464383068978882
Frontal cortex	2501	0.2567306260266892
Frontal cortex	2502	0.09530844268197428
Frontal cortex	2503	0.09036543505523759
Frontal cortex	2504	0.16921821167327308
Basal forbrain nuclei	1501	0.9950637975788801
Basal forbrain nuclei	1502	1.0049362024211197
Basal forbrain nuclei	2501	0.33374997114309585
Basal forbrain nuclei	2502	0.08326049463183435
Basal forbrain nuclei	2503	0.04426736721462761
Basal forbrain nuclei	2504	0.06470553199528253
Corpus callosum	1501	0.9639326749521142
Corpus callosum	1502	1.0360673250478858
Corpus callosum	2501	0.28266972394100204
Corpus callosum	2502	0.143939126666118
Corpus callosum	2503	0.17255957741759612
Corpus callosum	2504	0.2357069206981768
Caudate	1501	1.1399199437645704
Caudate	1502	0.8600800562354297
Caudate	2501	0.3195617483489033
Caudate	2502	0.4770377334076374
Caudate	2503	0.585417420049212
Caudate	2504	0.4262116700054667
Putamen	1501	0.8424481507271137
Putamen	1502	1.1575518492728865
Putamen	2501	0.9214919255510757
Putamen	2502	0.7722257851553471
Putamen	2503	0.5431921578509136
Putamen	2504	0.7040000337551575
Amygdala	1501	0.9501063753968598
Amygdala	1502	1.04989362460314
Amygdala	2501	0.34603178979789173
Amygdala	2502	0.14733111739352756
Amygdala	2503	0.15134788330476848
Amygdala	2504	0.20070515075832168
Motor cortex	1501	1.137321755145311
Motor cortex	1502	0.8626782448546888
Motor cortex	2501	0.2389342740889707
Motor cortex	2502	0.19911504561603985
Motor cortex	2503	0.2655187332131597
Motor cortex	2504	0.09597995839762664
Insular cortex	1501	1.0153920086613717
Insular cortex	1502	0.9846079913386283
Insular cortex	2501	0.18149385614121605
Insular cortex	2502	0.09662382285675283
Insular cortex	2503	0.06845212556635889
Insular cortex	2504	0.11250601677129378
Globus palidus	1501	1.0729133385287375
Globus palidus	1502	0.9270866614712628
Globus palidus	2501	0.6137502171804898
Globus palidus	2502	0.5970326843314132
Globus palidus	2503	0.8875349713025646
Globus palidus	2504	0.6025327083953887
Thalamus VA/VL	1501	1.0556596716234459
Thalamus VA/VL	1502	0.9443403283765541
Thalamus VA/VL	2501	0.7724460425205444
Thalamus VA/VL	2502	0.5179731763357007
Thalamus VA/VL	2503	0.4122378521463938
Thalamus VA/VL	2504	0.3806336317472932
Hypothalamus	1501	0.9854322112854785
Hypothalamus	1502	1.0145677887145215
Hypothalamus	2501	0.4890506555164256
Hypothalamus	2502	0.11115406365192061
Hypothalamus	2503	0.14148398222752226
Hypothalamus	2504	0.11432231150351432
Thalamus MD	1501	0.8207716051535147
Thalamus MD	1502	1.1792283948464855
Thalamus MD	2501	0.23324637239809326
Thalamus MD	2502	0.515068741058692
Thalamus MD	2503	0.1999287105791568
Thalamus MD	2504	0.11223108712504516
Enthorinal cortex	1501	0.8353324624158686
Enthorinal cortex	1502	1.1646675375841316
Enthorinal cortex	2501	0.11865426604503593
Enthorinal cortex	2502	0.059965696094494536
Enthorinal cortex	2503	0.04124857985604311
Enthorinal cortex	2504	0.10280838700809947
Temporal Cortex	1501	1.053165917308145
Temporal Cortex	1502	0.9468340826918551
Temporal Cortex	2501	0.33420626048936514
Temporal Cortex	2502	0.11522338675254311
Temporal Cortex	2503	0.06421214646601095
Temporal Cortex	2504	0.093559051343153
Lateral geniculate body	1501	1.1888102054466854
Lateral geniculate body	1502	0.8111897945533147
Lateral geniculate body	2501	0.2751915029521638
Lateral geniculate body	2502	0.14978820969621504
Lateral geniculate body	2503	0.11204146904771882
Lateral geniculate body	2504	0.1347144621101487
Hippocampus	1501	1.1806861525128944
Hippocampus	1502	0.8193138474871056
Hippocampus	2501	0.4832942688828707
Hippocampus	2502	0.0710707387779139
Hippocampus	2503	0.13376799260181335
Hippocampus	2504	0.16403383037288108
Thalamus  VPM/VPL	1501	1.0151382572771683
Thalamus  VPM/VPL	1502	0.9848617427228318
Thalamus  VPM/VPL	2501	0.3891564284315438
Thalamus  VPM/VPL	2502	0.14041357440814567
Thalamus  VPM/VPL	2503	0.19805754256103503
Thalamus  VPM/VPL	2504	0.19272499660118392
Substancia nigra	1501	1.3646442706791737
Substancia nigra	1502	0.6353557293208262
Substancia nigra	2501	1.0890026451484283
Substancia nigra	2502	0.19975618555762445
Substancia nigra	2503	0.18786642559340536
Substancia nigra	2504	0.22282067798085495
Pons R/D	1501	1.070517451085924
Pons R/D	1502	0.929482548914076
Pons R/D	2501	0.6098414501321132
Pons R/D	2502	0.20393067347597704
Pons R/D	2503	0.0728986068987618
Pons R/D	2504	0.07827636106011213
Pons R/V	1501	1.0845737233580162
Pons R/V	1502	0.9154262766419837
Pons R/V	2501	0.4099083089220759
Pons R/V	2502	0.08133363491572246
Pons R/V	2503	0.06495392228834189
Pons R/V	2504	0.09696374335395602
Pulvinar	1501	1.0700740428444537
Pulvinar	1502	0.9299259571555463
Pulvinar	2501	0.16461424147871914
Pulvinar	2502	0.11512494576644001
Pulvinar	2503	0.1339741631855289
Pulvinar	2504	0.09061075328588326
Superior colliculus	1501	0.990559991193983
Superior colliculus	1502	1.0094400088060171
Superior colliculus	2501	0.17881701684043536
Superior colliculus	2502	0.10179717406877825
Superior colliculus	2503	0.06233815228042545
Superior colliculus	2504	0.12238879184607528
Central gray	1501	1.2106973399248258
Central gray	1502	0.7893026600751744
Central gray	2501	0.27534294355805494
Central gray	2502	0.23458028524496702
Central gray	2503	0.17520291645847166
Central gray	2504	0.18937620811811126
Pons C/D	1501	0.7209372939953163
Pons C/D	1502	1.2790627060046837
Pons C/D	2501	0.33395436522964433
Pons C/D	2502	0.14652622035207427
Pons C/D	2503	0.08028625044719252
Pons C/D	2504	0.06739075730266264
Pons C/V	1501	0.5518432216607211
Pons C/V	1502	1.4481567783392788
Pons C/V	2501	0.13615026077047288
Pons C/V	2502	0.11332908432756807
Pons C/V	2503	0.09565632509958549
Pons C/V	2504	0.07439961358319272
Cerebellar peduncle	1501	0.4882878080562642
Cerebellar peduncle	1502	1.5117121919437357
Cerebellar peduncle	2501	0.5267148633687463
Cerebellar peduncle	2502	0.06664725846932529
Cerebellar peduncle	2503	0.06420771902259444
Cerebellar peduncle	2504	0.09470996096512999
Medulla R/D	1501	0.8185650159551353
Medulla R/D	1502	1.1814349840448646
Medulla R/D	2501	0.36156298683881066
Medulla R/D	2502	0.1611231898990313
Medulla R/D	2503	0.15050230367640402
Medulla R/D	2504	0.14801389145727736
Deep cerebellar nuclei	1501	1.2460036321139223
Deep cerebellar nuclei	1502	0.7539963678860778
Deep cerebellar nuclei	2501	0.622868997555783
Deep cerebellar nuclei	2502	0.4492175029968811
Deep cerebellar nuclei	2503	0.19892498864644273
Deep cerebellar nuclei	2504	0.34702911606152315
Medualla R/V	1501	0.9055636711635289
Medualla R/V	1502	1.094436328836471
Medualla R/V	2501	0.1824283486323122
Medualla R/V	2502	0.0628574377072607
Medualla R/V	2503	0.05155150275283683
Medualla R/V	2504	0.06190991511865955
Cerebellar cortex	1501	1.0099044481331643
Cerebellar cortex	1502	0.9900955518668357
Cerebellar cortex	2501	1.2838039689561485
Cerebellar cortex	2502	0.4293517990329267
Cerebellar cortex	2503	0.11987541788690265
Cerebellar cortex	2504	0.18783470919900375
Medulla C	1501	0.888661157946448
Medulla C	1502	1.111338842053552
Medulla C	2501	0.3176866432893282
Medulla C	2502	0.12940651044391227
Medulla C	2503	0.07676319672459787
Medulla C	2504	0.11653759090809304
Occipital cortex	1501	1.118079736661242
Occipital cortex	1502	0.8819202633387578
Occipital cortex	2501	0.39537864065034833
Occipital cortex	2502	0.16096487536913667
Occipital cortex	2503	0.04984400586809867
Occipital cortex	2504	0.07536416842412445
